Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"WiFi/Bluetooth Module","ESP32-WROOM-32D","Main microcontroller for station control, BLE communication with toio, and motor control.","electrical","module",1,5.00,5.00,"https://www.digikey.com/en/products/detail/espressif-systems/ESP32-WROOM-32D/9477013"
"Voltage/Current Sensor","Holybro PM07 Power Module","Provides regulated power to the flight controller and measures battery voltage/current.","electrical","sensor",1,30.00,30.00,"https://www.holybro.com/products/pm07"
"Main Frame Top Plate","Carbon Fiber Plate 600x600x3mm","Primary structural top plate for mounting electronics and connecting frame arms. Provides rigidity to the hexarotor frame.","mechanical","structural",1,120.00,120.00,"https://www.amazon.com/s?k=carbon+fiber+plate+600x600x3mm"
"Main Frame Bottom Plate","Carbon Fiber Plate 600x600x3mm","Primary structural bottom plate for mounting components and enclosing payload bay. Forms the base of the drone's chassis.","mechanical","structural",1,120.00,120.00,"https://www.amazon.com/s?k=carbon+fiber+plate+600x600x3mm"
"Hexarotor Arm 1","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 1 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Hexarotor Arm 2","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 2 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Hexarotor Arm 3","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 3 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Hexarotor Arm 4","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 4 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Hexarotor Arm 5","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 5 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Hexarotor Arm 6","Carbon Fiber Arm 30x20x300mm","Carbon fiber arm connecting motor 6 to the main frame, providing structural support for propulsion.","mechanical","structural",1,25.00,25.00,"https://www.amazon.com/s?k=carbon+fiber+rectangle+tube+30x20x300mm"
"Motor Mount 1","Motor Mount 1","3D-printed mount for propulsion motor 1, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Motor Mount 2","Motor Mount 2","3D-printed mount for propulsion motor 2, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Motor Mount 3","Motor Mount 3","3D-printed mount for propulsion motor 3, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Motor Mount 4","Motor Mount 4","3D-printed mount for propulsion motor 4, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Motor Mount 5","Motor Mount 5","3D-printed mount for propulsion motor 5, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Motor Mount 6","Motor Mount 6","3D-printed mount for propulsion motor 6, ensuring secure attachment to the hexarotor arm.","mechanical","3d_printed",1,3.50,3.50,"undefined"
"Payload Bay Enclosure","Custom Carbon Fiber Payload Box","Lightweight and durable carbon fiber enclosure for the 8kg payload, integrated into the drone's underside.","mechanical","enclosure",1,80.00,80.00,"https://www.amazon.com/s?k=carbon+fiber+box"
"Payload Winch System","Industrial Grade Micro Winch","Automated winch system for lowering and raising the payload container without requiring the drone to land.","mechanical","mechanism",1,150.00,150.00,"https://www.amazon.com/s?k=industrial+micro+winch"
"Payload Container Housing","","3D-printed housing for the payload container, integrating the weighing system and release mechanism.","mechanical","3d_printed",1,15.00,15.00,"undefined"
"Battery Bay Cover 1","","Custom 3D-printed quick-release cover for battery bay 1, allowing easy battery swapping.","mechanical","3d_printed",1,4.00,4.00,"undefined"
"Battery Bay Cover 2","","Custom 3D-printed quick-release cover for battery bay 2, allowing easy battery swapping.","mechanical","3d_printed",1,4.00,4.00,"undefined"
"Landing Gear Leg Front Left","Carbon Fiber Landing Gear Retractable","Retractable carbon fiber landing gear leg for safe take-off and landing, minimizing aerodynamic drag during flight.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=carbon+fiber+retractable+landing+gear"
"Landing Gear Leg Front Right","Carbon Fiber Landing Gear Retractable","Retractable carbon fiber landing gear leg for safe take-off and landing, minimizing aerodynamic drag during flight.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=carbon+fiber+retractable+landing+gear"
"Landing Gear Leg Rear Left","Carbon Fiber Landing Gear Ret retractable","Retractable carbon fiber landing gear leg for safe take-off and landing, minimizing aerodynamic drag during flight.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=carbon+fiber+retractable+landing+gear"
"Landing Gear Leg Rear Right","Carbon Fiber Landing Gear Ret retractable","Retractable carbon fiber landing gear leg for safe take-off and landing, minimizing aerodynamic drag during flight.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=carbon+fiber+retractable+landing+gear"
"Main RTK GPS Mount","Main RTK GPS Mount","3D-printed mast and mount for the main RTK GPS module, positioned for optimal signal reception.","mechanical","3d_printed",1,2.50,2.50,"undefined"
"Auxiliary RTK GPS Mount","","3D-printed mast and mount for the auxiliary RTK GPS module, positioned for optimal signal reception and redundancy.","mechanical","3d_printed",1,2.50,2.50,"undefined"
"Front Obstacle LiDAR Mount","Front Obstacle LiDAR Mount","3D-printed mount for the front LiDAR sensor, angled for optimal obstacle detection.","mechanical","3d_printed",1,1.80,1.80,"undefined"
"Back Obstacle LiDAR Mount","","3D-printed mount for the back LiDAR sensor, angled for optimal obstacle detection.","mechanical","3d_printed",1,1.80,1.80,"undefined"
"Left Obstacle LiDAR Mount","Left Obstacle LiDAR Mount","3D-printed mount for the left LiDAR sensor, angled for optimal obstacle detection.","mechanical","3d_printed",1,1.80,1.80,"undefined"
"Right Obstacle LiDAR Mount","Right Obstacle LiDAR Mount","3D-printed mount for the right LiDAR sensor, angled for optimal obstacle detection.","mechanical","3d_printed",1,1.80,1.80,"undefined"
"Downward Camera Gimbal","2-Axis Brushless Gimbal for Drone","2-axis brushless gimbal for stabilizing the downward vision camera, ensuring clear views for landing and payload operations.","mechanical","mechanism",1,75.00,75.00,"https://www.amazon.com/s?k=2+axis+drone+gimbal"
"Forward Camera Mount","Forward Camera Mount","Fixed 3D-printed mount for the forward vision camera, providing a clear view for navigation.","mechanical","3d_printed",1,2.00,2.00,"undefined"
"Flight Controller/AI Enclosure","","Custom 3D-printed enclosure to protect the flight controller and AI compute module from environmental elements.","mechanical","3d_printed",1,8.00,8.00,"undefined"
"AI Compute Module Mount","AI Compute Module Mount","Internal 3D-printed mount for securing the AI compute module within the main electronics enclosure.","mechanical","3d_printed",1,2.50,2.50,"undefined"
"Cable Management Clips","Cable Management Clips","Assorted 3D-printed clips and guides for routing and securing internal wiring, preventing interference and damage.","mechanical","3d_printed",20,0.20,4.00,"undefined"
"M3 Nylon Standoffs","M3x10mm Nylon Hex Standoffs","Nylon standoffs for electrically isolating and spacing PCBs and components within the frame.","mechanical","misc",50,0.15,7.50,"https://www.amazon.com/s?k=m3+nylon+standoffs"
"M3 Hex Socket Screws","M3x12mm Hex Socket Screws Stainless Steel","Stainless steel hex socket screws for general assembly of frame components and mounts.","mechanical","misc",100,0.08,8.00,"https://www.amazon.com/s?k=m3+hex+socket+screws"
"M3 Nyloc Nuts","M3 Nyloc Hex Nuts Stainless Steel","Nyloc nuts to provide secure, vibration-resistant fastening for critical structural connections.","mechanical","misc",50,0.05,2.50,"https://www.amazon.com/s?k=m3+nyloc+nuts"
"Vibration Damping Balls","Rubber Vibration Dampers for Flight Controller","Rubber damping balls to reduce vibrations transmitted to sensitive electronic components like the flight controller.","mechanical","misc",8,0.50,4.00,"https://www.amazon.com/s?k=flight+controller+vibration+dampers"
"High Precision Barometer Mount","High Precision Barometer Mount","Form-fitting cradle for the High Precision Barometer that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 1 ESC Mount","Motor 1 ESC Mount","Per-position bracket for the Motor 1 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 2 ESC Mount","Motor 2 ESC Mount","Per-position bracket for the Motor 2 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 3 ESC Mount","Motor 3 ESC Mount","Per-position bracket for the Motor 3 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 4 ESC Mount","Motor 4 ESC Mount","Per-position bracket for the Motor 4 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 5 ESC Mount","Motor 5 ESC Mount","Per-position bracket for the Motor 5 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Motor 6 ESC Mount","Motor 6 ESC Mount","Per-position bracket for the Motor 6 ESC with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Winch Motor Driver Mount","Winch Motor Driver Mount","Per-position bracket for the Winch Motor Driver with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"4G/5G Cellular Modem Mount","4G/5G Cellular Modem Mount","Adapter plate for the 4G/5G Cellular Modem that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Digital Video Transmitter Mount","Digital Video Transmitter Mount","Adapter plate for the Digital Video Transmitter that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"WiFi/Bluetooth Module Mount","WiFi/Bluetooth Module Mount","Adapter plate for the WiFi/Bluetooth Module that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Voltage/Current Sensor Mount","Voltage/Current Sensor Mount","Form-fitting cradle for the Voltage/Current Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
